order_id,order_date,region,category,product,quantity,unit_price
1001,2026-01-05,North,Electronics,Headphones,2,49.99
1002,2026-01-08,South,Furniture,Office Chair,1,129.00
1003,2026-01-12,West,Electronics,Keyboard,3,39.50
1004,2026-02-02,East,Accessories,Mouse Pad,5,9.99
1005,2026-02-10,North,Furniture,Desk,1,219.00
1006,2026-02-17,South,Electronics,Monitor,2,179.00
1007,2026-03-01,West,Accessories,USB Hub,4,19.00
1008,2026-03-06,East,Electronics,Webcam,2,59.99
1009,2026-03-19,North,Accessories,Laptop Stand,3,34.75
1010,2026-03-24,South,Furniture,Bookshelf,1,149.00
